Model,MAE,RMSE,R2,Run Time (s)
Linear Regression,11140.265882245001,23025.672034946176,0.06013354025359152,0.0
Decision Tree,2572.2316755793227,12446.48187634353,0.7253783674053313,0.2
Support Vector Regression,6349.2356116054425,24489.952751923607,-0.06320599565176921,56.41
